ID,Имя,link,МКБ-10
598_3,Доброкачественная дисплазия молочной железы,https://cr.minzdrav.gov.ru/view-cr/598_3,N60.0 Солитарная киста молочной железы
598_3,Доброкачественная дисплазия молочной железы,https://cr.minzdrav.gov.ru/view-cr/598_3,N60.1 Диффузная кистозная мастопатия
598_3,Доброкачественная дисплазия молочной железы,https://cr.minzdrav.gov.ru/view-cr/598_3,N60.2 Фиброаденоз молочной железы
598_3,Доброкачественная дисплазия молочной железы,https://cr.minzdrav.gov.ru/view-cr/598_3,N60.3 Фибросклероз молочной железы
598_3,Доброкачественная дисплазия молочной железы,https://cr.minzdrav.gov.ru/view-cr/598_3,N60.4 Эктазия протоков молочной железы
598_3,Доброкачественная дисплазия молочной железы,https://cr.minzdrav.gov.ru/view-cr/598_3,N60.8 Другие доброкачественные дисплазии молочной железы
598_3,Доброкачественная дисплазия молочной железы,https://cr.minzdrav.gov.ru/view-cr/598_3,N60.9 Доброкачественная дисплазия молочной железы неуточненная
858_1,Воспалительные заболевания молочных желез,https://cr.minzdrav.gov.ru/view-cr/858_1,N61 Воспалительные болезни молочной железы
598_3,Доброкачественная дисплазия молочной железы,https://cr.minzdrav.gov.ru/view-cr/598_3,N62 Гипертрофия молочной железы
598_3,Доброкачественная дисплазия молочной железы,https://cr.minzdrav.gov.ru/view-cr/598_3,N63 Образование в молочной железе неуточненное
858_1,Воспалительные заболевания молочных желез,https://cr.minzdrav.gov.ru/view-cr/858_1,N64.0 Трещина и свищ соска
598_3,Доброкачественная дисплазия молочной железы,https://cr.minzdrav.gov.ru/view-cr/598_3,N64.4 Мастодиния
206_2,Бактериальный вагиноз,https://cr.minzdrav.gov.ru/view-cr/206_2,N89 Другие невоспалительные болезни влагалища
642_2,Внематочная (эктопическая) беременность,https://cr.minzdrav.gov.ru/view-cr/642_2,O00 Внематочная [эктопическая] беременность
642_2,Внематочная (эктопическая) беременность,https://cr.minzdrav.gov.ru/view-cr/642_2,"O08 Осложнения, вызванные абортом, внематочной или молярной беременностью"
637_2,"Преэклампсия. Эклампсия. Отеки, протеинурия и гипертензивные расстройства во время беременности, в родах и послеродовом периоде.",https://cr.minzdrav.gov.ru/view-cr/637_2,"O10 Существовавшая ранее гипертензия, осложняющая беременность, роды и послеродовой период"
637_2,"Преэклампсия. Эклампсия. Отеки, протеинурия и гипертензивные расстройства во время беременности, в родах и послеродовом периоде.",https://cr.minzdrav.gov.ru/view-cr/637_2,"O10.0 Существовавшая ранее эссенциальная гипертензия, осложняющая беременность, роды и послеродовой период"
637_2,"Преэклампсия. Эклампсия. Отеки, протеинурия и гипертензивные расстройства во время беременности, в родах и послеродовом периоде.",https://cr.minzdrav.gov.ru/view-cr/637_2,"O10.1 Существовавшая ранее кардиоваскулярная гипертензия, осложняющая беременность, роды и послеродовой период"
637_2,"Преэклампсия. Эклампсия. Отеки, протеинурия и гипертензивные расстройства во время беременности, в родах и послеродовом периоде.",https://cr.minzdrav.gov.ru/view-cr/637_2,"O10.2 Существовавшая ранее почечная гипертензия, осложняющая беременность, роды и послеродовой период"
637_2,"Преэклампсия. Эклампсия. Отеки, протеинурия и гипертензивные расстройства во время беременности, в родах и послеродовом периоде.",https://cr.minzdrav.gov.ru/view-cr/637_2,"O10.3 Существовавшая ранее кардиоваскулярная и почечная гипертензия, осложняющая беременность, роды и послеродовой период"
637_2,"Преэклампсия. Эклампсия. Отеки, протеинурия и гипертензивные расстройства во время беременности, в родах и послеродовом периоде.",https://cr.minzdrav.gov.ru/view-cr/637_2,"O10.4 Существовавшая ранее вторичная гипертензия, осложняющая беременность, роды и послеродовой период"
637_2,"Преэклампсия. Эклампсия. Отеки, протеинурия и гипертензивные расстройства во время беременности, в родах и послеродовом периоде.",https://cr.minzdrav.gov.ru/view-cr/637_2,"O10.9 Существовавшая ранее гипертензия, осложняющая беременность, роды и послеродовой период, неуточненная"
637_2,"Преэклампсия. Эклампсия. Отеки, протеинурия и гипертензивные расстройства во время беременности, в родах и послеродовом периоде.",https://cr.minzdrav.gov.ru/view-cr/637_2,O11 Существовавшая ранее гипертензия с присоединившейся протеинурией
637_2,"Преэклампсия. Эклампсия. Отеки, протеинурия и гипертензивные расстройства во время беременности, в родах и послеродовом периоде.",https://cr.minzdrav.gov.ru/view-cr/637_2,O12 Вызванные беременностью отеки и протеинурия без гипертензии
637_2,"Преэклампсия. Эклампсия. Отеки, протеинурия и гипертензивные расстройства во время беременности, в родах и послеродовом периоде.",https://cr.minzdrav.gov.ru/view-cr/637_2,O12.0 Вызванные беременностью отеки
637_2,"Преэклампсия. Эклампсия. Отеки, протеинурия и гипертензивные расстройства во время беременности, в родах и послеродовом периоде.",https://cr.minzdrav.gov.ru/view-cr/637_2,O12.1 Вызванная беременностью протеинурия
637_2,"Преэклампсия. Эклампсия. Отеки, протеинурия и гипертензивные расстройства во время беременности, в родах и послеродовом периоде.",https://cr.minzdrav.gov.ru/view-cr/637_2,O12.2 Вызванные беременностью отеки с протеинурией
637_2,"Преэклампсия. Эклампсия. Отеки, протеинурия и гипертензивные расстройства во время беременности, в родах и послеродовом периоде.",https://cr.minzdrav.gov.ru/view-cr/637_2,O13 Вызванная беременностью гипертензия без значительной протеинурии
637_2,"Преэклампсия. Эклампсия. Отеки, протеинурия и гипертензивные расстройства во время беременности, в родах и послеродовом периоде.",https://cr.minzdrav.gov.ru/view-cr/637_2,O14 Вызванная беременностью гипертензия со значительной протеинурией
637_2,"Преэклампсия. Эклампсия. Отеки, протеинурия и гипертензивные расстройства во время беременности, в родах и послеродовом периоде.",https://cr.minzdrav.gov.ru/view-cr/637_2,O14.0 Преэклампсия (нефропатия) средней тяжести
637_2,"Преэклампсия. Эклампсия. Отеки, протеинурия и гипертензивные расстройства во время беременности, в родах и послеродовом периоде.",https://cr.minzdrav.gov.ru/view-cr/637_2,O14.1 Тяжелая преэклампсия
637_2,"Преэклампсия. Эклампсия. Отеки, протеинурия и гипертензивные расстройства во время беременности, в родах и послеродовом периоде.",https://cr.minzdrav.gov.ru/view-cr/637_2,O14.9 Преэклампсия (нефропатия) неуточненная
637_2,"Преэклампсия. Эклампсия. Отеки, протеинурия и гипертензивные расстройства во время беременности, в родах и послеродовом периоде.",https://cr.minzdrav.gov.ru/view-cr/637_2,O15 Эклампсия
637_2,"Преэклампсия. Эклампсия. Отеки, протеинурия и гипертензивные расстройства во время беременности, в родах и послеродовом периоде.",https://cr.minzdrav.gov.ru/view-cr/637_2,O15.0 Эклампсия во время беременности
637_2,"Преэклампсия. Эклампсия. Отеки, протеинурия и гипертензивные расстройства во время беременности, в родах и послеродовом периоде.",https://cr.minzdrav.gov.ru/view-cr/637_2,O15.2 Эклампсия в послеродовом периоде
637_2,"Преэклампсия. Эклампсия. Отеки, протеинурия и гипертензивные расстройства во время беременности, в родах и послеродовом периоде.",https://cr.minzdrav.gov.ru/view-cr/637_2,O15.9 Эклампсия неуточненная по срокам
637_2,"Преэклампсия. Эклампсия. Отеки, протеинурия и гипертензивные расстройства во время беременности, в родах и послеродовом периоде.",https://cr.minzdrav.gov.ru/view-cr/637_2,O16 Гипертензия у матери неуточненная
802_1,Чрезмерная рвота беременных,https://cr.minzdrav.gov.ru/view-cr/802_1,O21 Чрезмерная рвота беременных
802_1,Чрезмерная рвота беременных,https://cr.minzdrav.gov.ru/view-cr/802_1,O21.0 Рвота беременных легкая или умеренная
802_1,Чрезмерная рвота беременных,https://cr.minzdrav.gov.ru/view-cr/802_1,O21.1 Чрезмерная или тяжелая рвота беременных с нарушениями обмена веществ
802_1,Чрезмерная рвота беременных,https://cr.minzdrav.gov.ru/view-cr/802_1,O21.2 Поздняя рвота беременных
802_1,Чрезмерная рвота беременных,https://cr.minzdrav.gov.ru/view-cr/802_1,"O21.8 Другие формы рвоты, осложняющей беременность"
802_1,Чрезмерная рвота беременных,https://cr.minzdrav.gov.ru/view-cr/802_1,O21.9 Рвота беременных неуточненная
723_2,Венозные осложнения во время беременности и послеродовом периоде. Акушерская тромбоэмболия,https://cr.minzdrav.gov.ru/view-cr/723_2,O22.0 Варикозное расширение вен нижних конечностей во время беременности
723_2,Венозные осложнения во время беременности и послеродовом периоде. Акушерская тромбоэмболия,https://cr.minzdrav.gov.ru/view-cr/723_2,O22.1 Варикозное расширение вен половых органов во время беременности
723_2,Венозные осложнения во время беременности и послеродовом периоде. Акушерская тромбоэмболия,https://cr.minzdrav.gov.ru/view-cr/723_2,O22.2 Поверхностный тромбофлебит во время беременности
723_2,Венозные осложнения во время беременности и послеродовом периоде. Акушерская тромбоэмболия,https://cr.minzdrav.gov.ru/view-cr/723_2,O22.3 Глубокий тромбофлебит во время беременности
723_2,Венозные осложнения во время беременности и послеродовом периоде. Акушерская тромбоэмболия,https://cr.minzdrav.gov.ru/view-cr/723_2,O22.4 Геморрой во время беременности
723_2,Венозные осложнения во время беременности и послеродовом периоде. Акушерская тромбоэмболия,https://cr.minzdrav.gov.ru/view-cr/723_2,O22.5 Тромбоз церебральных вен во время беременности
723_2,Венозные осложнения во время беременности и послеродовом периоде. Акушерская тромбоэмболия,https://cr.minzdrav.gov.ru/view-cr/723_2,O22.8 Другие венозные осложнения во время беременности
723_2,Венозные осложнения во время беременности и послеродовом периоде. Акушерская тромбоэмболия,https://cr.minzdrav.gov.ru/view-cr/723_2,O22.9 Венозное осложнение во время беременности неуточненное
841_1,Гестационный сахарный диабет,https://cr.minzdrav.gov.ru/view-cr/841_1,O24.0 Существовавший ранее сахарный диабет инсулинозависимый
841_1,Гестационный сахарный диабет,https://cr.minzdrav.gov.ru/view-cr/841_1,O24.1 Существовавший ранее сахарный диабет инсулиннезависимый
841_1,Гестационный сахарный диабет,https://cr.minzdrav.gov.ru/view-cr/841_1,O24.3 Существовавший ранее сахарный диабет неуточненный
841_1,Гестационный сахарный диабет,https://cr.minzdrav.gov.ru/view-cr/841_1,"O24.4 Сахарный диабет, развившийся во время беременности"
841_1,Гестационный сахарный диабет,https://cr.minzdrav.gov.ru/view-cr/841_1,O24.9 Сахарный диабет при беременности неуточненный
289_2,Внутрипеченочный холестаз при беременности,https://cr.minzdrav.gov.ru/view-cr/289_2,"O26.6 Поражения печени во время беременности, родов и послеродовом периоде"
768_1,Разрывы промежности при родоразрешении и другие акушерские травмы (акушерский травматизм),https://cr.minzdrav.gov.ru/view-cr/768_1,"O26.7 Подвывих лонного сочленения во время беременности, родов и послеродовом периоде"
626_2,Тазовое предлежание плода,https://cr.minzdrav.gov.ru/view-cr/626_2,"O32.0 Неустойчивое положение плода, требующее представления медицинской помощи матери"
626_2,Тазовое предлежание плода,https://cr.minzdrav.gov.ru/view-cr/626_2,"O32.1 Ягодичное предлежание плода, требующее предоставления медицинской помощи матери"
626_2,Тазовое предлежание плода,https://cr.minzdrav.gov.ru/view-cr/626_2,"O32.2 Поперечное или косое положение плода, требующее предоставления медицинской помощи матери"
766_1,"Медицинская помощь матери при установленном или предполагаемом несоответствии размеров таза и плода. Лицевое, лобное или подбородочное предлежание плода, требующее предоставления медицинской помощи матери",https://cr.minzdrav.gov.ru/view-cr/766_1,"O32.3 Лицевое, лобное или подбородочное предлежание плода, требующее предоставления медицинской помощи матери"
626_2,Тазовое предлежание плода,https://cr.minzdrav.gov.ru/view-cr/626_2,"O32.6 Комбинированное предлежание плода, требующее предоставления медицинской помощи матери"
766_1,"Медицинская помощь матери при установленном или предполагаемом несоответствии размеров таза и плода. Лицевое, лобное или подбородочное предлежание плода, требующее предоставления медицинской помощи матери",https://cr.minzdrav.gov.ru/view-cr/766_1,O33 Медицинская помощь матери при установленном или предполагаемом несоответствии размеров таза и плода
766_1,"Медицинская помощь матери при установленном или предполагаемом несоответствии размеров таза и плода. Лицевое, лобное или подбородочное предлежание плода, требующее предоставления медицинской помощи матери",https://cr.minzdrav.gov.ru/view-cr/766_1,"O33.0 Деформация костей таза, приводящая к диспропорции, требующей предоставления медицинской помощи матери"
766_1,"Медицинская помощь матери при установленном или предполагаемом несоответствии размеров таза и плода. Лицевое, лобное или подбородочное предлежание плода, требующее предоставления медицинской помощи матери",https://cr.minzdrav.gov.ru/view-cr/766_1,"O33.1 Равномерно суженный таз, приводящий к диспропорции, требующей предоставления медицинской помощи матери"
766_1,"Медицинская помощь матери при установленном или предполагаемом несоответствии размеров таза и плода. Лицевое, лобное или подбородочное предлежание плода, требующее предоставления медицинской помощи матери",https://cr.minzdrav.gov.ru/view-cr/766_1,"O33.2 Сужение входа таза, приводящее к диспропорции, требующей предоставления медицинской помощи матери"
766_1,"Медицинская помощь матери при установленном или предполагаемом несоответствии размеров таза и плода. Лицевое, лобное или подбородочное предлежание плода, требующее предоставления медицинской помощи матери",https://cr.minzdrav.gov.ru/view-cr/766_1,"O33.3 Сужение выхода таза, приводящее к диспропорции, требующей предоставления медицинской помощи матери"
766_1,"Медицинская помощь матери при установленном или предполагаемом несоответствии размеров таза и плода. Лицевое, лобное или подбородочное предлежание плода, требующее предоставления медицинской помощи матери",https://cr.minzdrav.gov.ru/view-cr/766_1,"O33.4 Диспропорция смешанного материнского и плодного происхождения, требующая предоставления медицинской помощи матери"
766_1,"Медицинская помощь матери при установленном или предполагаемом несоответствии размеров таза и плода. Лицевое, лобное или подбородочное предлежание плода, требующее предоставления медицинской помощи матери",https://cr.minzdrav.gov.ru/view-cr/766_1,"O33.5 Крупные размеры плода, приводящие к диспропорции, требующей предоставления медицинской помощи матери"
766_1,"Медицинская помощь матери при установленном или предполагаемом несоответствии размеров таза и плода. Лицевое, лобное или подбородочное предлежание плода, требующее предоставления медицинской помощи матери",https://cr.minzdrav.gov.ru/view-cr/766_1,"O33.6 Гидроцефалия плода, приводящая к диспропорции, требующей предоставления медицинской помощи матери"
766_1,"Медицинская помощь матери при установленном или предполагаемом несоответствии размеров таза и плода. Лицевое, лобное или подбородочное предлежание плода, требующее предоставления медицинской помощи матери",https://cr.minzdrav.gov.ru/view-cr/766_1,"O33.8 Диспропорция вследствие других причин, требующая предоставления медицинской помощи матери"
766_1,"Медицинская помощь матери при установленном или предполагаемом несоответствии размеров таза и плода. Лицевое, лобное или подбородочное предлежание плода, требующее предоставления медицинской помощи матери",https://cr.minzdrav.gov.ru/view-cr/766_1,"O33.9 Диспропорция, требующая предоставления медицинской помощи матери, неуточненная"
635_2,"Послеоперационный рубец на матке, требующий предоставления медицинской помощи матери во время беременности, родов и в послеродовом периоде",https://cr.minzdrav.gov.ru/view-cr/635_2,"O34.2 Послеоперационный рубец матки, требующий предоставления медицинской помощи матери"
671_2,Истмико-цервикальная недостаточность,https://cr.minzdrav.gov.ru/view-cr/671_2,"O34.3 Истмико-цервикальная недостаточность, требующая предоставления медицинской помощи матери"
596_3,Резус-изоиммунизация. Гемолитическая болезнь плода,https://cr.minzdrav.gov.ru/view-cr/596_3,"O36.0 Резус-иммунизация, требующая предоставления медицинской помощи матери"
596_3,Резус-изоиммунизация. Гемолитическая болезнь плода,https://cr.minzdrav.gov.ru/view-cr/596_3,"O36.1 Другие формы иммунизации, требующие предоставления медицинской помощи матери"
722_2,"Недостаточный рост плода, требующий предоставления медицинской помощи матери (задержка роста плода)",https://cr.minzdrav.gov.ru/view-cr/722_2,"O36.5 Недостаточный рост плода, требующий предоставления медицинской помощи матери"
820_1,"Аномалии объема амниотической жидкости (многоводие, маловодие)",https://cr.minzdrav.gov.ru/view-cr/820_1,O40 Многоводие
820_1,"Аномалии объема амниотической жидкости (многоводие, маловодие)",https://cr.minzdrav.gov.ru/view-cr/820_1,O41 Другие нарушения со стороны амниотической жидкости и плодных оболочек
820_1,"Аномалии объема амниотической жидкости (многоводие, маловодие)",https://cr.minzdrav.gov.ru/view-cr/820_1,O41.0 Олигогидрамнион
820_1,"Аномалии объема амниотической жидкости (многоводие, маловодие)",https://cr.minzdrav.gov.ru/view-cr/820_1,O41.8 Другие уточненные нарушения амниотической жидкости и плодных оболочек
820_1,"Аномалии объема амниотической жидкости (многоводие, маловодие)",https://cr.minzdrav.gov.ru/view-cr/820_1,O41.9 Нарушение амниотической жидкости и плодных оболочек неуточненное
722_2,"Недостаточный рост плода, требующий предоставления медицинской помощи матери (задержка роста плода)",https://cr.minzdrav.gov.ru/view-cr/722_2,O43 Плацентарные нарушения
767_1,Патологическое прикрепление плаценты (предлежание и врастание плаценты),https://cr.minzdrav.gov.ru/view-cr/767_1,O43.0 Синдромы плацентарной трансфузии
767_1,Патологическое прикрепление плаценты (предлежание и врастание плаценты),https://cr.minzdrav.gov.ru/view-cr/767_1,O43.1 Аномалии плаценты
767_1,Патологическое прикрепление плаценты (предлежание и врастание плаценты),https://cr.minzdrav.gov.ru/view-cr/767_1,O43.2 Патологическое прикрепление плаценты
767_1,Патологическое прикрепление плаценты (предлежание и врастание плаценты),https://cr.minzdrav.gov.ru/view-cr/767_1,"O44.0 Предлежание плаценты, уточненное как без кровотечения"
767_1,Патологическое прикрепление плаценты (предлежание и врастание плаценты),https://cr.minzdrav.gov.ru/view-cr/767_1,O44.1 Предлежание плаценты с кровотечением
800_1,Преждевременная отслойка плаценты,https://cr.minzdrav.gov.ru/view-cr/800_1,O45 Преждевременная отслойка плаценты [abruptio placentae]
800_1,Преждевременная отслойка плаценты,https://cr.minzdrav.gov.ru/view-cr/800_1,"O46 Дородовое кровотечение, не классифицированное в других рубриках"
640_2,Подготовка шейки матки к родам и родовозбуждение,https://cr.minzdrav.gov.ru/view-cr/640_2,O48 Переношенная беременность
640_2,Подготовка шейки матки к родам и родовозбуждение,https://cr.minzdrav.gov.ru/view-cr/640_2,O61 Неудачная попытка стимуляции родов
640_2,Подготовка шейки матки к родам и родовозбуждение,https://cr.minzdrav.gov.ru/view-cr/640_2,O61.0 Неудачная попытка стимуляции родов медикаментозными средствами
640_2,Подготовка шейки матки к родам и родовозбуждение,https://cr.minzdrav.gov.ru/view-cr/640_2,O61.1 Неудачная попытка стимуляции родов инструментальными средствами
640_2,Подготовка шейки матки к родам и родовозбуждение,https://cr.minzdrav.gov.ru/view-cr/640_2,O61.8 Другие виды неудачной попытки стимуляции родов
822_1,Аномалии родовой деятельности,https://cr.minzdrav.gov.ru/view-cr/822_1,O62 Нарушения родовой деятельности [родовых сил]
822_1,Аномалии родовой деятельности,https://cr.minzdrav.gov.ru/view-cr/822_1,O63 Затяжные роды
626_2,Тазовое предлежание плода,https://cr.minzdrav.gov.ru/view-cr/626_2,O64.1 Затрудненные роды вследствие ягодичного предлежания
766_1,"Медицинская помощь матери при установленном или предполагаемом несоответствии размеров таза и плода. Лицевое, лобное или подбородочное предлежание плода, требующее предоставления медицинской помощи матери",https://cr.minzdrav.gov.ru/view-cr/766_1,O64.2 Затрудненные роды вследствие лобного предлежания
766_1,"Медицинская помощь матери при установленном или предполагаемом несоответствии размеров таза и плода. Лицевое, лобное или подбородочное предлежание плода, требующее предоставления медицинской помощи матери",https://cr.minzdrav.gov.ru/view-cr/766_1,O64.3 Затрудненные роды вследствие предлежания плечика
626_2,Тазовое предлежание плода,https://cr.minzdrav.gov.ru/view-cr/626_2,O64.5 Затрудненные роды вследствие комбинированного предлежания
626_2,Тазовое предлежание плода,https://cr.minzdrav.gov.ru/view-cr/626_2,O64.8 Затрудненные роды вследствие другого неправильного положения и предлежания плода
766_1,"Медицинская помощь матери при установленном или предполагаемом несоответствии размеров таза и плода. Лицевое, лобное или подбородочное предлежание плода, требующее предоставления медицинской помощи матери",https://cr.minzdrav.gov.ru/view-cr/766_1,O65 Затрудненные роды вследствие аномалии таза у матери
766_1,"Медицинская помощь матери при установленном или предполагаемом несоответствии размеров таза и плода. Лицевое, лобное или подбородочное предлежание плода, требующее предоставления медицинской помощи матери",https://cr.minzdrav.gov.ru/view-cr/766_1,O65.0 Затрудненные роды вследствие деформации таза
766_1,"Медицинская помощь матери при установленном или предполагаемом несоответствии размеров таза и плода. Лицевое, лобное или подбородочное предлежание плода, требующее предоставления медицинской помощи матери",https://cr.minzdrav.gov.ru/view-cr/766_1,O65.1 Затрудненные роды вследствие равномерно суженного таза
766_1,"Медицинская помощь матери при установленном или предполагаемом несоответствии размеров таза и плода. Лицевое, лобное или подбородочное предлежание плода, требующее предоставления медицинской помощи матери",https://cr.minzdrav.gov.ru/view-cr/766_1,O65.2 Затрудненные роды вследствие сужения входа таза
766_1,"Медицинская помощь матери при установленном или предполагаемом несоответствии размеров таза и плода. Лицевое, лобное или подбородочное предлежание плода, требующее предоставления медицинской помощи матери",https://cr.minzdrav.gov.ru/view-cr/766_1,O65.3 Затрудненные роды вследствие сужения выходного отверстия и среднего диаметра таза
766_1,"Медицинская помощь матери при установленном или предполагаемом несоответствии размеров таза и плода. Лицевое, лобное или подбородочное предлежание плода, требующее предоставления медицинской помощи матери",https://cr.minzdrav.gov.ru/view-cr/766_1,O65.4 Затрудненные роды вследствие несоответствия размеров таза и плода неуточненного
766_1,"Медицинская помощь матери при установленном или предполагаемом несоответствии размеров таза и плода. Лицевое, лобное или подбородочное предлежание плода, требующее предоставления медицинской помощи матери",https://cr.minzdrav.gov.ru/view-cr/766_1,O65.5 Затрудненные роды вследствие аномалии органов таза у матери
766_1,"Медицинская помощь матери при установленном или предполагаемом несоответствии размеров таза и плода. Лицевое, лобное или подбородочное предлежание плода, требующее предоставления медицинской помощи матери",https://cr.minzdrav.gov.ru/view-cr/766_1,O65.8 Затрудненные роды вследствие других аномалий таза у матери
766_1,"Медицинская помощь матери при установленном или предполагаемом несоответствии размеров таза и плода. Лицевое, лобное или подбородочное предлежание плода, требующее предоставления медицинской помощи матери",https://cr.minzdrav.gov.ru/view-cr/766_1,O65.9 Затрудненные роды вследствие аномалии таза у матери неуточненной
119_3,Послеродовое кровотечение,https://cr.minzdrav.gov.ru/view-cr/119_3,"O67 Роды и родоразрешение, осложнившиеся кровотечением во время родов, не классифицированных в других рубриках"
768_1,Разрывы промежности при родоразрешении и другие акушерские травмы (акушерский травматизм),https://cr.minzdrav.gov.ru/view-cr/768_1,O70 Разрывы промежности при родоразрешении
768_1,Разрывы промежности при родоразрешении и другие акушерские травмы (акушерский травматизм),https://cr.minzdrav.gov.ru/view-cr/768_1,O71 Другие акушерские травмы
119_3,Послеродовое кровотечение,https://cr.minzdrav.gov.ru/view-cr/119_3,O72 Послеродовое кровотечение
640_2,Подготовка шейки матки к родам и родовозбуждение,https://cr.minzdrav.gov.ru/view-cr/640_2,O75.5 Задержка родов после искусственного разрыва плодных оболочек
640_2,Подготовка шейки матки к родам и родовозбуждение,https://cr.minzdrav.gov.ru/view-cr/640_2,O75.6 Задержка родов после самопроизвольного или неуточненного разрыва плодных оболочек
635_2,"Послеоперационный рубец на матке, требующий предоставления медицинской помощи матери во время беременности, родов и в послеродовом периоде",https://cr.minzdrav.gov.ru/view-cr/635_2,O75.7 Роды через влагалище после предшествовавшего кесарева сечения
822_1,Аномалии родовой деятельности,https://cr.minzdrav.gov.ru/view-cr/822_1,O75.8 Другие уточненные осложнения родов и родоразрешения
626_2,Тазовое предлежание плода,https://cr.minzdrav.gov.ru/view-cr/626_2,O80.1 Самопроизвольные роды в ягодичном предлежании
626_2,Тазовое предлежание плода,https://cr.minzdrav.gov.ru/view-cr/626_2,O80.8 Другие самопроизвольные одноплодные роды
626_2,Тазовое предлежание плода,https://cr.minzdrav.gov.ru/view-cr/626_2,O83.0 Извлечение плода за тазовый конец
